Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3mqrfe5u8PY39YNwlYME25,"Crank It Up","Thanks for Listening","Colt Ford",2014-07-01,200441,47,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country hip hop,country,acoustic country,country rock","Average Joes Entertainment",0.759,0.68,7,-4.481,1,0.0456,0.00686,0,0.0629,0.962,112.966,4
spotify:track:0JbSghVDghtFEurrSO8JrC,"Country Girl (Shake It For Me)","Tailgates & Tanlines","Luke Bryan",2011-01-01,225560,76,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country,acoustic country","Capitol Nashville",0.644,0.904,2,-4.532,1,0.0464,0.0295,0,0.0834,0.672,105.969,4
spotify:track:3Q9t1A12iUemHTAWnH7PjD,"Watermelon Crawl","No Ordinary Man","Tracy Byrd",1994-01-01,181973,67,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country,classic country","Geffen*",0.759,0.723,0,-9.315,1,0.028,0.173,0,0.179,0.962,136.746,4
spotify:track:6eHTrSCKzmYNQjXtTKDpHV,"Kickin Up Mud","Country Boy's Paradise","The Lacs",2010-09-28,216493,52,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country hip hop,country","Average Joes Entertainment",0.783,0.614,5,-5.935,0,0.29,0.0417,0,0.0938,0.768,65.005,4
spotify:track:63aj87TQG6F3RVO5nbG2VQ,"In Da Getto","In Da Getto","J Balvin;Skrillex",2021-07-02,131065,62,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"reggaeton,latin,dubstep,edm,electro,electronic","Sueños Globales, LLC",0.915,0.72,8,-3.126,1,0.0459,0.025,0.0000142,0.0942,0.631,126.986,4
spotify:track:4uGucgzv0ydi35DgAlsTQ4,"Jump (feat. Nelly Furtado)","R.O.O.T.S. (Route of Overcoming the Struggle)","Flo Rida;Nelly Furtado",2009-03-23,208920,46,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"","Poe Boy/Atlantic",0.731,0.813,6,-7.366,0,0.065,0.00439,0.0000035,0.26,0.497,130.028,4
spotify:track:1dgWTMoHwTUnQhOQ8SR5fV,"American Kids","The Big Revival","Kenny Chesney",2014-09-22,182982,72,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country","Legacy Recordings",0.782,0.589,0,-7.37,1,0.0803,0.0476,0.00000584,0.0366,0.849,85.022,4
spotify:track:6TFUhEcEsqGVMZeZtAeUzN,"Spicy Margarita","Spicy Margarita","Jason Derulo;Michael Bublé",2024-01-25,154376,56,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"christmas","Atlantic Records",0.713,0.834,6,-4.754,0,0.124,0.013,0,0.237,0.672,129.989,4
spotify:track:0XqUVpsUCoXZgT88JBgW6u,"Damn I Love Miami","Bad Boys For Life Soundtrack","Pitbull;Lil Jon",2020-01-17,161651,73,true,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"crunk","Epic/We The Best",0.796,0.942,11,-4.952,1,0.0684,0.0584,0,0.641,0.673,124.008,4
spotify:track:4cgMbpadUX2zgo0O9v8cVS,"Grand Daddy Long Legs","Pour Another Round","Twang and Round",2014-10-21,213933,22,false,v73r4r6uajxqqobbf0vekw1n2,2024-07-03T02:36:25Z,"country hip hop","Backroad Records/Average Joes",0.775,0.909,1,-5.245,1,0.0563,0.02,0,0.206,0.951,100.005,4
